trial,generation,direction,score,lateral_term,forward_penalty,yaw_penalty,lateral_deficit_penalty,body_vx_m_s,body_vy_m_s,signed_lateral_m_s,off_axis_forward_m_s,yaw_rate_rad_s,elapsed_s,terminated,action_energy,slide_bias,slide_amp,slide_freq,slide_wave_n,slide_phase,yaw_amp,yaw_freq,yaw_wave_n,yaw_phase,yaw_bias,yaw_trim_gradient
30,3,right,-2.7506115161093048,-0.2299207598374389,0.26565374457749347,0.36203432750731307,2.149603799187194,0.02125229956619948,0.03448811397561583,-0.03448811397561583,0.02125229956619948,0.07240686550146262,6.0,False,0.20560860633850098,-0.3851872999003211,0.005141923338696201,1.030408027297589,0.9826872040064627,-1.410002218260727,0.5535265938851246,0.6506645321974381,-0.8287576889937296,0.42792095441812705,0.2453322583523062,-0.17330522872248422
31,3,right,-4.783549703967663,-0.5902781249791071,0.23215924370010493,0.15448513043372322,3.9513906248955353,-0.018572739496008395,0.08854171874686606,-0.08854171874686606,0.018572739496008395,0.030897026086744644,6.0,False,0.10634591430425644,-0.19634023370334075,0.2757034736645629,0.8092233817734995,0.931585683941309,-2.992265717550248,0.5246178472066545,0.48085959662488786,-0.7011360172425549,-2.317087804333493,0.005106066085124317,-0.21659283031135446
32,3,right,-0.7133291119587987,0.15646464503833846,0.732069940328323,0.26778502658049746,0.21767677480830766,0.05856559522626584,-0.02346969675575077,0.02346969675575077,0.05856559522626584,0.05355700531609949,6.0,False,0.2887755334377289,-0.276783774527535,0.3448553424255683,0.739471916486784,2.42828382896988,-3.088867843104504,0.7663287152484513,0.9204864207449552,1.6104319528809814,-0.3919155395744949,0.35298357178978346,0.10016514371526897
33,3,right,-3.8717036489873733,-0.32904920217793726,0.8619790192820305,0.5815887604801462,2.6452460108896867,0.06895832154256244,0.04935738032669059,-0.04935738032669059,0.06895832154256244,0.11631775209602924,6.0,False,0.16143710911273956,-0.3279008864596381,0.1585886264003929,0.8630569970479587,1.750323575393974,-2.331334940135968,0.24774151346182677,1.091634778526197,0.16062306234138823,-0.9176623286474985,0.33311358642845135,0.18718366966548527
34,3,right,-0.7418542693045082,0.33937027817454385,0.9957661553101556,0.7616259266577592,0.0,0.07966129242481244,-0.05090554172618158,0.05090554172618158,0.07966129242481244,-0.15232518533155184,6.0,False,0.16876377165317535,-0.4439865451646199,0.07683098950978193,0.532458230516937,1.2261728559284828,-2.7994452964562857,0.14882103755465464,1.0890448748783368,0.391463582595561,-1.158105991013937,-0.26193559678408196,-0.1893634110861093
35,3,right,-5.947709949222759,-0.5952985143899869,1.6834330024715942,0.39170611509843056,3.976492571949935,-0.13467464019772754,0.08929477715849804,-0.08929477715849804,0.13467464019772754,0.07834122301968612,6.0,False,0.08313518017530441,-0.14998192598510784,0.009175245482398127,0.8926599844937091,-2.4199602316294166,-3.087873602598343,0.546275222383855,1.1102397555666688,-0.5191967552993471,0.43717036480473226,0.0012427714027614112,-0.06643382070363257
36,3,right,-7.104365326845187,-0.6601739971312004,1.8453253718291085,1.6949671869577232,4.300869985656002,0.14762602974632869,0.09902609956968006,-0.09902609956968006,0.14762602974632869,0.33899343739154464,6.0,False,0.20549951493740082,-0.3439118467829059,0.0070711422691432865,1.207698560580395,0.8327933871278703,-1.3507520261453467,0.3607400297609488,1.1212575159249525,-0.3003844558996658,-1.6624959947784606,0.49790285151909974,-0.24320925737790985
37,3,right,-0.8202784861976959,0.4677770968612178,0.5742814985182376,1.7647309380977667,0.0,0.04594251988145901,-0.07016656452918267,0.07016656452918267,0.04594251988145901,-0.3529461876195534,6.0,False,0.18465325236320496,-0.339017256292632,0.12526034564345231,1.0943750901928166,1.5868799061687637,-2.758352678403264,0.28633650249023335,1.1253488469096753,-1.6516890763826177,-3.10866751255721,0.3899636651086569,-0.16993449171465935
38,3,right,-1.5083585004447584,0.09165478870990484,0.6446296109239692,1.2091441130510856,0.5417260564504758,0.051570368873917534,-0.013748218306485725,0.013748218306485725,0.051570368873917534,-0.24182882261021713,6.0,False,0.12372242659330368,-0.09918078891176829,0.1506368783982962,1.0376734414155924,1.2613116718843003,-1.3271057511618618,0.06266287348998079,0.933926946357173,0.44420219495165947,0.5474340506337887,0.4287511674086639,-0.31292306610375886
39,3,right,-2.6999813915610242,0.14604555440406242,2.039031191606804,2.2870318868199346,0.269772227979688,0.1631224953285443,-0.02190683316060936,0.02190683316060936,0.1631224953285443,0.4574063773639869,6.0,False,0.27084702253341675,-0.4916814695804741,0.018760305681846057,1.0526222294619445,1.9833651199738798,-1.0518989501675797,0.35086341125160725,1.02989483789595,-0.11482514192270621,-2.941066048794296,0.4105381562043805,-0.39856177466272835
