trial,generation,score,mean_signed,min_signed,max_signed,mean_abs_vx,mean_abs_yaw,mean_abs_err,below_count,wrong_count,slide_bias,slide_amp,slide_freq,slide_wave_n,slide_phase,yaw_amp,yaw_freq,yaw_wave_n,yaw_phase,yaw_bias,yaw_trim_gradient
31,3,2.5644362206631213,0.04928164064649132,0.04530512575588037,0.054806889494551904,0.011643094703485948,0.18088703873852263,0.011781640646491323,0,0,-0.6124728832190738,0.13498796365558877,0.8620926147831947,1.1071772440366718,-1.0524693036984782,0.3912281387744407,1.0307517324671742,-2.9282370745368365,0.5965783095951505,0.18035275072313306,-0.39543467614812583
32,3,-2.5283492706881656,0.025012896511937627,0.019817106694393672,0.028680209150066586,0.007524740080684158,0.08471138901523068,0.012487103488062373,3,0,-0.6683208138161447,0.14343995511492938,1.0230298074217268,0.43989396703476924,0.5440692931212205,0.3062340253017723,0.9746073622785526,-2.901531503166309,0.13440805931465416,-0.023436635307540254,-0.371901934694026
33,3,-2.686559945323636,0.02375804791323677,0.021427947833265838,0.02836723928010391,0.008994779040258132,0.10418124804523814,0.01374195208676323,3,0,-0.7988214420799453,0.01352756464285971,1.0993906960106135,1.3939641521805823,-0.4033089948753181,0.26921019091296117,0.9094337628358027,-2.895635473397142,0.39983895521381463,0.057733336883630804,-0.39985139619840876
34,3,2.8653702142637174,0.04081886887265796,0.032295248956591846,0.05342302323459194,0.012988340234609244,0.14436673293709865,0.007296479950403334,0,0,-0.7570826047058085,0.2956585598577759,1.1029677828656992,0.6508851388710135,-0.7713248518452986,0.39532900181485914,0.9581729305958053,-2.989865314932649,0.5001822417774453,0.18112779453796213,-0.2641594949359056
35,3,2.9767388067544625,0.04633112189002298,0.043688507217934346,0.04918135149144334,0.010454782506963084,0.1442062725302351,0.008831121890022981,0,0,-0.8065364429150851,0.1153549239714516,1.0905360315681665,0.8542155440337469,-0.34802716227190444,0.3928266356277799,1.0328295883141636,-2.869276976717215,0.17077443203847542,0.14438153971481493,-0.31032747225175195
36,3,-3.0406958234653136,0.02222256978840445,0.017442142348645526,0.02756987013881269,0.010398092513911989,0.10795734051117917,0.015277430211595546,3,0,-0.6693294485966697,0.06081937180461126,1.1561635662429475,0.7280702006402207,0.23661238661448802,0.2605622763001779,0.9858510908440031,-2.999986682816462,0.2500824557571688,0.07422526824854603,-0.3745363678866386
37,3,1.0739051859114812,0.0355865432797017,0.027937962661115326,0.045684930627558906,0.019348993410008203,0.13358303028542617,0.007370077138670911,1,0,-0.7946702275183789,0.2212095609549105,1.0490790422517473,1.3157445373791532,-0.10169053160521546,0.29881678469642103,1.0063588472962897,-2.6448084578687907,1.1090308946227418,-0.025457509504559828,-0.3396058620429165
38,3,3.024061975091569,0.03434352616171143,0.03095947187023006,0.03606746445651835,0.012809728751030142,0.12901227402273366,0.003156473838288576,0,0,-0.6796007847716861,0.04042909010907093,1.0607310759077175,1.166996566939396,-0.3030597596969766,0.2625626926204455,0.9516164573682031,-2.806323196794736,0.7782124476994738,0.07706652168664119,-0.31220222742003845
39,3,2.822584159042881,0.04208872861240104,0.030285513746589495,0.05159259990279544,0.007353362854352665,0.10881795593011923,0.00939838611467471,0,0,-0.7162585598740828,0.13527712952616475,1.0736992293168894,1.3428116746058691,-0.772940304465493,0.4123679279575286,0.8663501105622405,-2.979656479750935,0.9416264038414992,0.06742666584519275,-0.31964448523159195
40,4,1.6726105372914124,0.059062295169104294,0.058321666657499334,0.06003113227356558,0.02179489881776465,0.1631985349317103,0.021562295169104285,0,0,-0.6766988731186284,0.13834527503340474,1.028191004656649,0.28177461602760356,0.5055693026366725,0.25333779534372947,0.9742220727463952,-2.6329028430970682,0.8074560310804202,0.2434764245436234,-0.23406601135142288
41,4,1.2285621512299936,0.03393400996831363,0.028447725069995187,0.04155499708988295,0.018496687378350803,0.11488875887507427,0.006269321424941674,1,0,-0.7933209955710603,0.11927453367052854,1.0116700986092444,0.7628188907091786,0.3881367525376125,0.2693327057449284,0.8890227762875285,-2.6872500983728203,0.30736113529653775,0.19392002364314953,-0.24744193714303014
42,4,1.2627179591976656,0.03125837573311465,0.026788961407468902,0.03356765053158786,0.007471721305002298,0.11589625869193654,0.006241624266885345,1,0,-0.6078629174405952,0.12434745264194554,1.1138007662521572,1.1800425465819426,-0.20687346539862883,0.32955397319466484,0.7058667109641135,-2.8637289227584746,0.06376589388988041,0.2621497321705225,-0.3369662252268031
43,4,3.0597610429173896,0.04207822390112977,0.03337284112113735,0.04735311302513662,0.006468627436688153,0.12849833187976814,0.007329663153704875,0,0,-0.8283498733259875,0.02730495381266135,1.1579469854529376,0.8440766663602779,0.4206860051914769,0.4542704254645559,0.8651879091666442,-2.925043686296162,0.426768934372328,0.10873794758447197,-0.37091506815431424
44,4,2.9600399427374007,0.042444613440167096,0.04087991802542402,0.04450674142716498,0.02023704052489714,0.18501655631459726,0.004944613440167102,0,0,-0.7193732141027249,0.040697666291042545,1.1768979264661743,1.2308864716325791,0.09615090717721575,0.404127877244145,0.878880966239372,-2.991407359310079,0.5701747416965768,0.3159235708946201,-0.3822226401493271
45,4,1.386811855802578,0.03274154920312845,0.029531985185403824,0.03811872676156145,0.011220517307435939,0.12352549371573095,0.0051709353045791785,1,0,-0.6950022652771118,0.22418506235675742,1.0956337881360279,1.362343969124379,0.3577587810124725,0.31295502095902866,0.8115940502183268,-2.980737610579039,1.3097213059378374,0.1802625929930054,-0.28277519801456413
