trial,generation,direction,score,axial_term,lateral_penalty,yaw_penalty,axial_deficit_penalty,body_vx_m_s,body_vy_m_s,signed_axial_m_s,abs_lateral_m_s,yaw_rate_rad_s,elapsed_s,terminated,action_energy,slide_bias,slide_amp,slide_freq,slide_wave_n,slide_phase,yaw_amp,yaw_freq,yaw_wave_n,yaw_phase,yaw_bias,yaw_trim_gradient
25,2,reverse,-1.8250998821399393,-0.0741124484895549,0.1739761491047105,0.4650864543912288,1.1852811212238872,0.018528112122388724,-0.01391809192837684,-0.018528112122388724,0.01391809192837684,-0.09301729087824577,6.0,False,0.3138343393802643,-0.5859206442947209,0.08066747933292756,0.6375206509967225,2.8697386789758452,0.6165132776847071,0.4970853807697526,1.0837598473785446,2.003777267680765,-1.51404855807309,0.22546125810009976,0.27464278011856325
26,2,reverse,-1.4987915677876615,-0.050066320412194006,0.04878984126267624,0.13543387859061431,1.125165801030485,0.012516580103048501,0.0039031873010140997,-0.012516580103048501,0.0039031873010140997,0.027086775718122864,6.0,False,0.2933821976184845,-0.4503337066340456,0.5108175953402452,0.5282446784993433,2.0678865451606745,3.1259264021052937,0.00037511458832119933,1.3509685819009856,0.20578878646379506,-1.8983642790962203,0.1005144957317492,0.102619624805658
27,2,reverse,-1.862820286959941,-0.15710558903805413,0.027675949272171062,0.02330744515531428,1.3927639725951353,0.03927639725951353,-0.002214075941773685,-0.03927639725951353,0.002214075941773685,-0.004661489031062856,6.0,False,0.29601067304611206,-0.40934292981167497,0.5668699966054779,1.0112555062313748,2.4221820710616715,3.0978954999219344,0.18641239582543287,0.9492818630535097,1.0674523589900575,-0.4598266175204846,0.020704538619496504,-0.13810373789689906
28,2,reverse,-2.2107725104800084,-0.0949333733002878,0.29162183475593095,0.9772613276381446,1.2373334332507195,0.02373334332507195,-0.023329746780474475,-0.02373334332507195,0.023329746780474475,-0.19545226552762893,6.0,False,0.08586136251688004,-0.3034664626221797,0.01201936417688414,0.651569470198657,1.68070092314208,2.8908535623506877,0.050043725490093005,1.217727809353832,-1.176465882551374,-2.2866030807332285,-0.1829270288913123,0.2790045075868228
29,2,reverse,-2.184622060776032,-0.16689176692781393,0.3793388584647677,0.153888925724468,1.4172294173195348,0.04172294173195348,0.03034710867718142,-0.04172294173195348,0.03034710867718142,0.0307777851448936,6.0,False,0.06173592433333397,-0.21004956560904653,0.10569738768003026,0.32374350980414013,2.997950000728526,2.3411120039823867,0.17345390660724735,1.4739119070940496,0.6191275262570914,-2.6049115161669363,-0.13457443239758266,0.16261482023017015
30,2,reverse,-2.005308926513058,-0.15109049745225436,0.2545748673085282,0.07013331685699138,1.377726243630636,0.03777262436306359,-0.020365989384682256,-0.03777262436306359,0.020365989384682256,-0.014026663371398277,6.0,False,0.19566401839256287,-0.20980267715207046,0.10907901865111541,0.2407447109736242,0.2560882095213364,1.9147920171628172,0.5315562207813606,1.4999477493279085,1.198335208411219,-0.05773137568167108,0.402200048939775,0.08209266791570141
31,2,reverse,-1.9014638151811285,-0.09483895818845013,0.20493714325301457,0.4103793726101568,1.2370973954711253,0.023709739547112533,0.016394971460241166,-0.023709739547112533,0.016394971460241166,0.08207587452203136,6.0,False,0.21140608191490173,-0.5331194127419306,0.0686067431136517,0.613028010364438,2.9963367163777006,3.0533618168577847,0.29085240657986183,1.200221115958509,1.849481442789866,-1.9491825782757417,-0.12115267944956559,-0.2242232678368147
32,2,reverse,-2.266631079467675,-0.1711901474725518,0.24302819304120662,0.4928501228471086,1.4279753686813794,0.04279753686813795,-0.01944225544329653,-0.04279753686813795,0.01944225544329653,-0.09857002456942172,6.0,False,0.10598044097423553,-0.045325101315002,0.17231664531357127,0.4540117042082872,0.4822016300632086,3.032001042622447,0.09182565629614671,1.4977191965716847,0.4270050292768124,-2.32272357449802,-0.44963495532884706,-0.08934637462816541
33,2,reverse,-1.8191574530165557,-0.06749842219768336,0.21237519523838996,0.4636636272374624,1.1687460554942084,0.01687460554942084,0.016990015619071198,-0.01687460554942084,0.016990015619071198,0.09273272544749249,6.0,False,0.123562753200531,-0.3187365670771527,0.1502082580311665,0.6535176091048096,2.9999743143437696,2.8417902290704298,0.018016682370107204,1.122967454675215,0.6941570729315969,-3.101814315529544,0.2647411925984462,0.16105425618032876
34,2,reverse,-1.2895490908914655,0.021397915572424177,0.2061821725263239,0.09000699634854428,0.9465052110689396,-0.005349478893106044,-0.01649457380210591,0.005349478893106044,0.01649457380210591,0.018001399269708857,6.0,False,0.030959634110331535,-0.1559053085317752,0.0535107411533203,0.6866023815228137,2.91220598824715,2.3328434214117095,0.2050618122298499,1.4733169014588205,1.7664449055503244,-1.8022190784474499,-0.08506000731747132,0.010743408827870837
35,2,reverse,-2.4120239839588318,-0.2060572636132987,0.3189006196327622,0.3871391177505386,1.5151431590332467,0.05151431590332468,0.025512049570620976,-0.05151431590332468,0.025512049570620976,-0.07742782355010773,6.0,False,0.3148461878299713,-0.4505326113890248,0.5182092846961903,0.8785918813641216,-0.05442739511821726,1.279877260549111,0.12459555195223213,0.9163468724677697,0.788439089609251,-0.23867157137044703,-0.2673252346929465,0.17608105681639763
36,3,reverse,-2.840875294381044,-0.24738897400455673,0.4799311154692505,0.7524350072935526,1.6184724350113917,0.06184724350113918,-0.03839448923754004,-0.06184724350113918,0.03839448923754004,-0.15048700145871052,6.0,False,0.03842100128531456,-0.11373357299204001,0.005919182754773073,0.302497107116176,0.5366196919061825,2.5082277695939794,0.277435455515684,1.3225491612102778,0.6009007834539144,-2.4210543323230604,0.16898419395184383,0.01566162240573349
37,3,reverse,-1.5820847571958634,-0.04687998996760942,0.08587879754903208,0.3025984680824334,1.1171999749190236,0.011719997491902355,-0.006870303803922566,-0.011719997491902355,0.006870303803922566,-0.06051969361648668,6.0,False,0.12871341407299042,-0.4262348561122957,0.10464471368601923,0.913029616499178,-0.10070087227207969,1.5245593036870888,0.016807464548876563,1.492886862691312,2.523415955770221,-2.289752712556949,-0.04479993447837888,0.1421033380509893
38,3,reverse,-3.1928511794827332,-0.23169895014437092,0.47910612790074464,1.672132342165158,1.5792473753609273,0.05792473753609273,0.03832849023205957,-0.05792473753609273,0.03832849023205957,0.3344264684330316,6.0,False,0.10884208977222443,-0.009596027247788297,0.14594778127466984,0.738452738821527,0.5664229645908225,2.079243221834223,0.0053337157003730705,0.4814943401577879,2.6868837539919213,-3.004618499050849,0.4501066216232745,-0.22470747081955658
39,3,reverse,-1.9230344590793307,-0.10467613548031697,0.14644403127452293,0.46116064838975046,1.2616903387007923,0.026169033870079243,-0.011715522501961834,-0.026169033870079243,0.011715522501961834,-0.0922321296779501,6.0,False,0.08095025271177292,-0.099936823551254,0.3073486610912965,0.278157163734796,0.5153570886224492,3.141557417414438,0.19658828362236624,1.0137385662514156,0.98933412246484,-0.898079374637188,0.13146209067415215,0.22143271892949612
40,3,reverse,-1.5787134820795539,-0.04095837166754069,0.1213084175236383,0.29749856516313455,1.1023959291688517,0.010239592916885172,-0.009704673401891064,-0.010239592916885172,0.009704673401891064,-0.05949971303262691,6.0,False,0.10775848478078842,-0.3721685617005299,0.13496178918533547,0.17933653711273867,1.7202453357679364,0.1325000947432584,0.0027201125396492895,1.4886029765071453,2.8117695032114716,-2.606008922815735,-0.09632210761137078,0.01420099944240788
41,3,reverse,-1.2978232058152563,-0.006314973169180465,0.0745918346925845,0.052440683026164406,1.015787432922951,0.0015787432922951164,0.005967346775406761,-0.0015787432922951164,0.005967346775406761,-0.010488136605232882,6.0,False,0.02401566132903099,-0.12583423849221786,0.09448001594481074,0.07039873329375292,2.341828572270085,2.8583373923741657,0.14750119410267593,1.4678650551177848,1.901734797117074,-3.141545281675516,0.06971245038089435,0.015515771599301231
42,3,reverse,-1.5785952559066236,-0.03167997277637506,0.15296869011073974,0.3372556841308579,1.0791999319409378,0.007919993194093766,-0.01223749520885918,-0.007919993194093766,0.01223749520885918,-0.06745113682617158,6.0,False,0.0340329185128212,-0.05449039622515317,0.14184856187534997,0.6991389712503028,0.9095118650619867,3.140823957769161,0.03184915670571027,1.2568923237660397,1.784783923013891,-3.1189566313403136,-0.20177620928111029,-0.15137545939608288
